Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
1,46,50.7,9.47,16.09,2.48,6.07,3.61,7.11,0.49,0.49,2.23,0.87,0.04,0.14
2,47,49.29,10.61,14.59,3.05,6.54,4.57,6.61,0.65,0.6,2.01,1.03,0.09,0.17
3,47,48.87,10.94,14.65,2.81,6.78,4.6,6.59,0.73,0.85,1.89,0.95,0.04,0.23
4,54,43.65,22.07,7.85,3.05,6.28,8.56,2.21,1.09,0.82,2.18,0.73,0.42,0.83
5,54,43.95,21,7.92,3.31,6.45,8.68,2.06,1.06,0.88,2.88,0.81,0.36,0.46
6,58,43.94,19.13,9.02,5.97,7.45,7.9,1.99,0.97,0.65,0.55,0.84,0.39,0.39
7,58,43.54,19.58,8.84,6.93,7.11,7.79,2.14,0.44,0,0.76,1.05,0.3,0.5
8,86,45.42,24.67,8.96,4.23,4.41,4.71,2.91,0.61,0.55,1.63,0.98,0.3,0.44
9,89,42.97,19.18,9.37,5.47,7.26,8.69,2.7,1.19,0.95,0.49,0.69,0.49,0.42
10,91,45.06,26.33,8.41,4.06,4.27,4.19,2.95,0.73,0.99,1.57,0.79,0.08,0.39
11,102,45.97,18.39,10.52,4.06,6.05,5.32,4.02,0.96,1.08,1.86,0.88,0.24,0.46
12,117,42.72,17.93,8.99,7.4,6.84,8.01,3.17,0.81,0.8,1.05,1.22,0.46,0.48
13,117,42.77,17.89,9.08,7.09,6.79,8.18,3.01,0.81,1,1.01,1.21,0.5,0.48
14,129,42.28,21.12,8.35,6.25,6.58,8.72,2.19,1.04,0.51,0.46,1.36,0.48,0.41
15,129,41.36,21.6,8.2,6.42,6.63,8.67,2.59,0.95,0.93,0.42,1.18,0.49,0.36
16,132,45.6,19.59,9.11,2.88,6.45,9.18,2.58,1.12,0.88,0.51,1.1,0.52,0.35
17,149,42.34,21.67,7.53,5.58,6.91,8.88,2,1,0.79,0.42,1.5,0.76,0.38
18,149,43.47,20.28,8.08,6.2,6.24,8.42,2.54,0.93,1.04,0.55,1.4,0.41,0.25
19,150,42.44,20.63,8.32,6.22,6.38,8.7,2.47,1.01,1.05,0.5,1.26,0.5,0.32
20,150,45.28,20.29,8.28,2.59,5.9,9.66,2.78,0.88,1.07,0.62,1.78,0.45,0.22
21,154,44.39,21.67,8.26,4.07,5.86,9.1,1.95,0.74,0.09,0.5,1.7,0.54,0.39
22,154,40.37,19.08,7.9,9.7,7.75,8.14,2.47,0.86,0.99,0.53,1.44,0.36,0.23
23,158,25.93,11.86,5.14,27.99,18.41,5.86,1.92,0.45,0.73,0.26,0.97,0.18,0.19
24,158,44.59,20.37,8.76,4,5.35,8.83,2.64,0.94,1.12,0.61,1.93,0.43,0.21
25,161,44.58,20.03,8.46,4.88,5.82,8.87,2.42,0.8,0.94,0.57,1.72,0.42,0.25
26,161,44.41,20.48,8.39,4.94,6,8.67,2.45,1.01,0.73,0.55,1.39,0.47,0.34
27,161,43.85,17.16,9.94,7.02,6.94,7.71,2.95,1.01,0.97,0.64,1.01,0.31,0.36
28,162,42.6,20.73,8.17,6.54,5.82,8.72,2.65,0.94,1.04,0.52,1.44,0.29,0.32
29,165,36.84,17.12,7.43,13.5,9.41,9.05,2.41,0.67,0.94,0.42,1.44,0.33,0.26
30,165,37.52,17.42,7.76,12.49,9.12,8.58,2.55,0.87,0.85,0.49,1.44,0.41,0.29
31,165,43.87,18.68,9.44,5.14,5.95,8.74,2.88,0.92,1.01,0.81,1.35,0.45,0.36
32,165,41.85,21.7,7.78,6.6,5.21,9.76,2.47,0.85,0.94,0.43,1.59,0.26,0.35
33,165,38.38,17.67,7.45,12.49,9.54,8.01,2.33,0.83,0.88,0.35,1.26,0.39,0.26
34,168,41.34,20.3,8.21,7.84,6.89,8.32,2.47,1.06,0.83,0.58,1.25,0.35,0.31
35,168,43.31,20.59,8.41,5.65,6.04,8.61,2.66,0.95,1.02,0.56,1.24,0.42,0.29
36,169,43.58,20.17,8.39,5.93,6.01,8.75,2.48,0.95,1.04,0.53,1.18,0.42,0.31
37,169,46.88,20.5,8.88,0.89,5.4,9.8,3.04,0.91,1.02,0.62,1.13,0.41,0.29
38,173,47.57,19.69,8.9,1.04,5.32,9.76,2.98,0.91,1.02,0.69,1.2,0.42,0.27
39,181,43.69,20.58,8.71,3.53,6.18,9.89,2.98,0.96,0.95,0.59,0.91,0.42,0.3
40,230,40.99,18.98,8.84,6.13,7.81,9.26,3.46,0.96,0.96,0.59,0.67,0.51,0.21
