Rank,Sols,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO,Amorhous_raw,Mafic_raw,Sulfate_raw,Magnetite_raw,Hematite_raw,Quartz_raw,Plagioclase_raw,Clay_raw,Amorhous,Mafic,Sulfate,Magnetite,Hematite,Quartz,Plagioclase,Clay
1,46,50.7,9.47,16.09,2.48,6.07,3.61,7.11,0.49,0.49,2.23,0.87,0.04,0.14,0,39.13121125,0,30.55168942,0,0.945932433,38.53572007,0,34.22579521,16.1525408,2.845565229,7.768980769,0.925935675,0.451849101,26.20870088,10.39543366
2,47,49.29,10.61,14.59,3.05,6.54,4.57,6.61,0.65,0.6,2.01,1.03,0.09,0.17,0,36.21796136,0,27.28041876,0,0.787906727,35.90255821,0,36.28922344,16.45951851,2.991201852,6.452481305,0.925935675,0.426859799,25.50975508,11.05457956
3,47,48.87,10.94,14.65,2.81,6.78,4.6,6.59,0.73,0.85,1.89,0.95,0.04,0.23,0,37.22407349,0,27.86290637,0,0.771235598,36.14404396,0,38.731635,15.17054916,3.265217867,5.088460367,0.925935675,0.389782327,24.706133,11.82239957
4,54,43.65,22.07,7.85,3.05,6.28,8.56,2.21,1.09,0.82,2.18,0.73,0.42,0.83,36.63355094,16.54276638,1.387952743,7.387563883,0,0.371004992,24.89567689,12.78148418,41.67615115,13.30934549,3.917899326,3.695315048,0.925935675,0.351220547,23.01014458,13.11398818
5,54,43.95,21,7.92,3.31,6.45,8.68,2.06,1.06,0.88,2.88,0.81,0.36,0.46,37.71556771,17.35919967,0.976914689,8.418723409,0,0.35714071,24.97929458,10.19315924,41.78765835,13.30285758,3.957456341,3.679533665,0.925935675,0.354744163,23.04290605,12.94890818
6,58,43.94,19.13,9.02,5.97,7.45,7.9,1.99,0.97,0.65,0.55,0.84,0.39,0.39,43.70677619,14.95161427,3.4132526,3.895268955,0,0.371996227,24.43002938,9.231062373,42.07969382,13.14414336,4.045101665,3.496964871,0.925935675,0.357542962,23.01637754,12.93424011
7,58,43.54,19.58,8.84,6.93,7.11,7.79,2.14,0.44,0,0.76,1.05,0.3,0.5,47.31033854,11.93399297,4.648679967,0.176448626,0.306306803,0.354173299,23.2520117,12.01804809,42.08714964,13.06638157,4.027360505,3.492584575,0.925935675,0.359645939,23.00542656,13.03551553
8,86,45.42,24.67,8.96,4.23,4.41,4.71,2.91,0.61,0.55,1.63,0.98,0.3,0.44,32.15447709,5.850026108,6.631089747,0,8.486963058,0.694985748,24.57633624,21.60612201,41.88397435,13.33243092,3.977271048,3.728094355,0.910620335,0.359609689,23.0991274,12.70887191
9,89,42.97,19.18,9.37,5.47,7.26,8.69,2.7,1.19,0.95,0.49,0.69,0.49,0.42,37.49361046,18.80235633,2.678683054,6.58908899,0,0.318987046,25.37418913,8.743084989,42.59580002,13.6334362,3.85794657,3.728094355,0.486272182,0.338920478,22.99668749,12.3628427
10,91,45.06,26.33,8.41,4.06,4.27,4.19,2.95,0.73,0.99,1.57,0.79,0.08,0.39,29.5978991,3.097214062,7.272676933,0,9.725443635,0.696946143,23.66059772,25.94922241,43.24358898,13.2065547,4.049211493,3.398639905,0.486272182,0.322971125,22.54996202,12.74279959
11,102,45.97,18.39,10.52,4.06,6.05,5.32,4.02,0.96,1.08,1.86,0.88,0.24,0.46,35.09747629,19.5917543,2.475794841,10.10810603,0,0.584728742,28.14533052,3.99680928,34.22579521,17.74552236,2.845565229,7.768980769,0.925935675,0.451849101,26.20870088,10.39543366
12,117,42.72,17.93,8.99,7.4,6.84,8.01,3.17,0.81,0.8,1.05,1.22,0.46,0.48,45.77499705,15.76231523,3.561321905,2.903996706,0,0.23717379,23.44327903,8.316916286,36.28922344,16.45951851,2.991201852,6.452481305,0.925935675,0.426859799,25.50975508,11.05457956
13,117,42.77,17.89,9.08,7.09,6.79,8.18,3.01,0.81,1,1.01,1.21,0.5,0.48,44.22396241,16.74083385,3.240409589,3.985936883,0,0.243218208,23.84517145,7.720467609,38.731635,15.17054916,3.265217867,5.088460367,0.925935675,0.389782327,24.706133,11.82239957
14,129,42.28,21.12,8.35,6.25,6.58,8.72,2.19,1.04,0.51,0.46,1.36,0.48,0.41,43.91158828,12.8526338,4.216194208,0.423231043,0,0.28229541,22.94987656,15.36418071,41.67615115,13.30934549,3.917899326,3.695315048,0.925935675,0.351220547,23.01014458,13.11398818
15,129,41.36,21.6,8.2,6.42,6.63,8.67,2.59,0.95,0.93,0.42,1.18,0.49,0.36,42.6771417,13.16750086,4.312334093,0,0,0.222081455,22.54398627,17.07695562,41.78765835,13.30285758,3.957456341,3.679533665,0.925935675,0.354744163,23.04290605,12.94890818
16,132,45.6,19.59,9.11,2.88,6.45,9.18,2.58,1.12,0.88,0.51,1.1,0.52,0.35,35.15793439,19.4752636,0.864679516,11.41006158,0,0.503101572,27.13441609,5.454543257,42.07969382,13.14414336,4.045101665,3.496964871,0.925935675,0.357542962,23.01637754,12.93424011
17,149,42.34,21.67,7.53,5.58,6.91,8.88,2,1,0.79,0.42,1.5,0.76,0.38,44.71339637,12.44706635,3.294982174,1.138251775,0,0.25014909,22.36597348,15.79018076,42.08714964,13.06638157,4.027360505,3.492584575,0.925935675,0.359645939,23.00542656,13.03551553
18,149,43.47,20.28,8.08,6.2,6.24,8.42,2.54,0.93,1.04,0.55,1.4,0.41,0.25,47.64625935,11.76149219,3.769078071,0.942993569,0,0.321660402,22.77257231,12.78594411,41.88397435,13.33243092,3.977271048,3.728094355,0.910620335,0.359609689,23.0991274,12.70887191
19,150,42.44,20.63,8.32,6.22,6.38,8.7,2.47,1.01,1.05,0.5,1.26,0.5,0.32,44.07610072,13.51961303,3.811738081,1.338651822,0,0.272531173,23.04109612,13.94026905,42.59580002,13.6334362,3.85794657,3.728094355,0.486272182,0.338920478,22.99668749,12.3628427
20,150,45.28,20.29,8.28,2.59,5.9,9.66,2.78,0.88,1.07,0.62,1.78,0.45,0.22,36.62482762,18.48155803,0.355522374,10.96627755,0,0.449733247,26.18185794,6.940223238,43.24358898,13.2065547,4.049211493,3.398639905,0.486272182,0.322971125,22.54996202,12.74279959
21,154,44.39,21.67,8.26,4.07,5.86,9.1,1.95,0.74,0.09,0.5,1.7,0.54,0.39,41.26856466,13.41113424,2.912732448,4.221700143,0,0.446146397,24.55680406,13.18291806,44.22197209,13.6300563,3.989612822,3.398639905,0,0.288123818,22.25043966,12.22115541
22,154,40.37,19.08,7.9,9.7,7.75,8.14,2.47,0.86,0.99,0.53,1.44,0.36,0.23,48.84823108,10.43857453,5.480320305,0,0,0.046357291,19.83011659,15.35640021,44.37145567,13.59630097,3.981021021,3.281769263,0,0.277408392,22.13450212,12.35754256
23,158,25.93,11.86,5.14,27.99,18.41,5.86,1.92,0.45,0.73,0.26,0.97,0.18,0.19,58.89032304,0,13.05362918,0,0,0,2.224275604,25.83177218,44.33527921,13.35089407,4.029096233,3.136569428,0,0.277414451,22.05182978,12.81891683
24,158,44.59,20.37,8.76,4,5.35,8.83,2.64,0.94,1.12,0.61,1.93,0.43,0.21,38.863695,16.41300814,2.179093048,7.071936211,0,0.441477311,25.55090619,9.479884108,44.69793223,12.95588862,4.189367561,2.937272584,0,0.265253541,21.71785913,13.23642633
25,161,44.58,20.03,8.46,4.88,5.82,8.87,2.42,0.8,0.94,0.57,1.72,0.42,0.25,43.55627698,14.1849154,2.729821162,4.767347527,0,0.413116695,24.44872441,9.899797823,44.79716285,12.89936318,4.224770291,2.916111032,0,0.260054128,21.64911412,13.2534244
26,161,44.41,20.48,8.39,4.94,6,8.67,2.45,1.01,0.73,0.55,1.39,0.47,0.34,43.85589273,13.39637847,3.058429414,3.807663046,0,0.414055758,24.21100976,11.25657081,44.85054418,12.91635341,4.186114803,3.036777048,0,0.265949425,21.70353125,13.04072988
27,161,43.85,17.16,9.94,7.02,6.94,7.71,2.95,1.01,0.97,0.64,1.01,0.31,0.36,43.24683263,17.25497983,3.64689082,4.886644216,0,0.353448295,25.12602861,5.485175606,45.36986339,12.58931765,4.324170334,2.569023588,0,0.258012966,21.51856983,13.37104224
28,162,42.6,20.73,8.17,6.54,5.82,8.72,2.65,0.94,1.04,0.52,1.44,0.29,0.32,46.39099064,11.87013174,4.244600193,0,0,0.281201528,22.52753796,14.68553795,44.70127398,12.98447337,4.159421226,3.245719032,0,0.275985898,21.81790977,12.81521673
29,165,36.84,17.12,7.43,13.5,9.41,9.05,2.41,0.67,0.94,0.42,1.44,0.33,0.26,50.4493896,10.26472646,6.503981504,0,0,0,16.43967971,16.34222272,43.9797626,13.40036066,3.970967322,3.953949136,0,0.291517201,22.09879639,12.30464669
30,165,37.52,17.42,7.76,12.49,9.12,8.58,2.55,0.87,0.85,0.49,1.44,0.41,0.29,49.16556118,11.56724588,6.080703527,0,0,0,17.67015058,15.51633883,43.50681929,13.68311828,3.848037081,4.342936056,0,0.296591501,22.24230181,12.08019598
31,165,43.87,18.68,9.44,5.14,5.95,8.74,2.88,0.92,1.01,0.81,1.35,0.45,0.36,38.08714799,18.91664786,2.303958812,7.770693196,0,0.370420211,25.82657963,6.724552299,43.50682802,13.79787193,3.932259285,4.130069045,0,0.280485656,22.14566812,12.20681795
32,165,41.85,21.7,7.78,6.6,5.21,9.76,2.47,0.85,0.94,0.43,1.59,0.26,0.35,45.05146781,10.85417713,4.522826144,0,0,0.237294986,21.7898323,17.54440163,43.60600358,13.91228545,3.92898657,4.112756863,0,0.270764468,22.09394469,12.07525838
33,165,38.38,17.67,7.45,12.49,9.54,8.01,2.33,0.83,0.88,0.35,1.26,0.39,0.26,51.47702293,8.840724921,6.445836157,0,0,0,17.16575834,16.07065765,43.4529427,14.12093766,3.825926452,4.169932579,0,0.274737256,22.20155764,11.95396571
34,168,41.34,20.3,8.21,7.84,6.89,8.32,2.47,1.06,0.83,0.58,1.25,0.35,0.31,45.89620067,11.72212488,4.9242488,0,0,0.17830714,21.57497644,15.70414207,42.44872889,15.00260493,3.300571632,4.428441616,0,0.286505895,23.29698567,11.23616136
