Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
46;7.11;3.61;16.09;50.7;0.49;2.48;0.87;2.23;6.07;0.49;0.04;0.14;9.47;30;222;92;35.99;21.69;2.66;3.83;0;0.97;20.53;14.32;1;-4.590435065;137.4453477
47;6.61;4.57;14.59;49.29;0.6;3.05;1.03;2.01;6.54;0.65;0.09;0.17;10.61;0;341;94;36.02;21.63;2.87;3.83;0.16;1.13;19.79;14.57;2;-4.590435065;137.4453477
47;6.59;4.6;14.65;48.87;0.85;2.81;0.95;1.89;6.78;0.73;0.04;0.23;10.94;61;319;94;36.81;20.98;2.92;3.29;0.16;1.13;19.67;15.05;3;-4.590435065;137.4453477
54;2.21;8.56;7.85;43.65;0.82;3.05;0.73;2.18;6.28;1.09;0.42;0.83;22.07;399;1359;13;36.96;20.38;3.15;2.07;0.16;1.13;19.52;16.64;4;-4.590065295;137.4479403
54;2.06;8.68;7.92;43.95;0.88;3.31;0.81;2.88;6.45;1.06;0.36;0.46;21;327;1222;40;36.8;20.38;3.15;2.07;0.17;1.13;19.67;16.64;5;-4.590065295;137.4479403
58;1.99;7.9;9.02;43.94;0.65;5.97;0.84;0.55;7.45;0.97;0.39;0.39;19.13;436;545;0;36.65;20.38;3.15;2.07;0.19;1.13;19.79;16.64;6;-4.590019559;137.4483392
58;2.14;7.79;8.84;43.54;0;6.93;1.05;0.76;7.11;0.44;0.3;0.5;19.58;649;649;0;36.13;20.82;3.15;2.07;0.2;1.21;19.79;16.64;7;-4.590019559;137.4483392
86;2.91;4.71;8.96;45.42;0.55;4.23;0.98;1.63;4.41;0.61;0.3;0.44;24.67;289;353;0;36.88;20.82;2.92;3.29;0.05;1.21;19.79;15.05;8;-4.58999567;137.4483418
89;2.7;8.69;9.37;42.97;0.95;5.47;0.69;0.49;7.26;1.19;0.49;0.42;19.18;456;327;34;36.96;20.82;2.92;3.29;0.05;1.13;19.79;15.05;9;-4.58999567;137.4483418
91;2.95;4.19;8.41;45.06;0.99;4.06;0.79;1.57;4.27;0.73;0.08;0.39;26.33;225;486;50;37.13;20.15;3.15;2.07;0.05;1.13;19.67;16.66;10;-4.58999567;137.4483418
102;4.02;5.32;10.52;45.97;1.08;4.06;0.88;1.86;6.05;0.96;0.24;0.46;18.39;368;892;65;35.99;21.69;2.66;3.83;0;0.97;20.53;14.32;11;-4.590021516;137.4483102
117;3.17;8.01;8.99;42.72;0.8;7.4;1.22;1.05;6.84;0.81;0.46;0.48;17.93;287;662;92;36.02;21.63;2.87;3.83;0.16;1.13;19.79;14.57;12;-4.58992144;137.4486758
117;3.01;8.18;9.08;42.77;1;7.09;1.21;1.01;6.79;0.81;0.5;0.48;17.89;291;625;86;36.81;20.98;2.92;3.29;0.16;1.13;19.67;15.05;13;-4.58992144;137.4486758
129;2.19;8.72;8.35;42.28;0.51;6.25;1.36;0.46;6.58;1.04;0.48;0.41;21.12;505;828;169;36.96;20.38;3.15;2.07;0.16;1.13;19.52;16.64;14;-4.589230302;137.4493834
129;2.59;8.67;8.2;41.36;0.93;6.42;1.18;0.42;6.63;0.95;0.49;0.36;21.6;442;796;324;36.8;20.38;3.15;2.07;0.17;1.13;19.67;16.64;15;-4.589230302;137.4493834
132;2.58;9.18;9.11;45.6;0.88;2.88;1.1;0.51;6.45;1.12;0.52;0.35;19.59;320;591;93;36.65;20.38;3.15;2.07;0.19;1.13;19.79;16.64;16;-4.589136889;137.449388
149;2;8.88;7.53;42.34;0.79;5.58;1.5;0.42;6.91;1;0.76;0.38;21.67;175;819;139;36.13;20.82;3.15;2.07;0.2;1.21;19.79;16.64;17;-4.589505444;137.4492352
149;2.54;8.42;8.08;43.47;1.04;6.2;1.4;0.55;6.24;0.93;0.41;0.25;20.28;500;779;310;36.88;20.82;2.92;3.29;0.05;1.21;19.79;15.05;18;-4.589505444;137.4492352
150;2.47;8.7;8.32;42.44;1.05;6.22;1.26;0.5;6.38;1.01;0.5;0.32;20.63;508;808;311;36.96;20.82;2.92;3.29;0.05;1.13;19.79;15.05;19;-4.589505444;137.4492352
150;2.78;9.66;8.28;45.28;1.07;2.59;1.78;0.62;5.9;0.88;0.45;0.22;20.29;480;786;325;37.13;20.15;3.15;2.07;0.05;1.13;19.67;16.66;20;-4.589505444;137.4492352
154;1.95;9.1;8.26;44.39;0.09;4.07;1.7;0.5;5.86;0.74;0.54;0.39;21.67;109;685;99;37.23;20.15;3.15;2.07;0.01;1.06;19.67;16.66;21;-4.58955167;137.4492227
154;2.47;8.14;7.9;40.37;0.99;9.7;1.44;0.53;7.75;0.86;0.36;0.23;19.08;779;614;102;37.24;20.15;3.15;2.07;0;1.06;19.67;16.66;22;-4.58955167;137.4492227
158;1.92;5.86;5.14;25.93;0.73;27.99;0.97;0.26;18.41;0.45;0.18;0.19;11.86;274;304;137;36.55;19.69;3.46;1.25;0.01;1.13;19.62;18.29;23;-4.58955167;137.4492227
158;2.64;8.83;8.76;44.59;1.12;4;1.93;0.61;5.35;0.94;0.43;0.21;20.37;669;757;197;36.18;19.32;3.59;1.06;0.01;1.13;19.49;19.22;24;-4.58955167;137.4492227
